abs,frac
4,0.190476
4,0.190476
4,0.190476
4,0.190476
2,0.105263
2,0.105263
4,0.190476
4,0.190476
4,0.190476
4,0.190476
3,0.150000
3,0.150000
3,0.150000
1,0.050000
4,0.181818
4,0.181818
4,0.181818
4,0.181818
2,0.105263
2,0.105263
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
2,0.105263
2,0.105263
2,0.100000
2,0.100000
1,0.052632
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
2,0.105263
2,0.105263
2,0.111111
2,0.111111
2,0.111111
1,0.052632
1,0.052632
7,0.368421
7,0.368421
2,0.100000
2,0.100000
1,0.052632
2,0.100000
2,0.100000
1,0.052632
2,0.100000
2,0.100000
1,0.052632
2,0.100000
2,0.100000
1,0.052632
3,0.142857
3,0.142857
3,0.142857
4,0.181818
4,0.181818
4,0.181818
4,0.181818
3,0.150000
3,0.150000
3,0.150000
4,0.190476
4,0.190476
4,0.190476
4,0.190476
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
2,0.076923
2,0.076923
1,0.040000
2,0.090909
2,0.090909
2,0.086957
2,0.086957
1,0.045455
4,0.166667
4,0.166667
4,0.166667
4,0.166667
2,0.076923
2,0.076923
2,0.076923
4,0.153846
4,0.153846
1,0.045455
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
2,0.125000
2,0.125000
2,0.125000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
2,0.090909
2,0.090909
3,0.136364
3,0.136364
3,0.136364
3,0.136364
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
5,0.227273
5,0.227273
5,0.227273
5,0.227273
5,0.227273
2,0.095238
2,0.095238
3,0.136364
3,0.136364
3,0.136364
2,0.095238
2,0.095238
3,0.136364
3,0.136364
3,0.136364
5,0.200000
5,0.200000
5,0.200000
5,0.200000
5,0.200000
8,0.500000
8,0.500000
8,0.500000
8,0.500000
2,0.086957
2,0.086957
11,0.478261
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
2,0.086957
3,0.120000
3,0.120000
3,0.120000
3,0.125000
3,0.125000
3,0.125000
2,0.086957
2,0.086957
4,0.160000
4,0.160000
4,0.160000
4,0.160000
2,0.080000
2,0.080000
2,0.086957
2,0.086957
2,0.086957
4,0.173913
4,0.173913
4,0.160000
4,0.160000
4,0.160000
4,0.160000
6,0.230769
6,0.230769
6,0.230769
6,0.230769
6,0.230769
6,0.230769
6,0.230769
8,0.307692
8,0.307692
6,0.230769
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
7,0.269231
7,0.269231
5,0.192308
10,0.384615
2,0.064516
2,0.064516
2,0.064516
3,0.096774
7,0.225806
7,0.225806
7,0.225806
7,0.225806
7,0.225806
7,0.225806
7,0.225806
1,0.035714
2,0.086957
2,0.086957
3,0.120000
3,0.120000
3,0.120000
1,0.043478
5,0.192308
5,0.192308
5,0.192308
5,0.192308
5,0.192308
2,0.086957
2,0.086957
2,0.083333
2,0.083333
1,0.043478
2,0.083333
2,0.083333
1,0.043478
4,0.166667
4,0.166667
4,0.166667
4,0.166667
6,0.230769
6,0.230769
6,0.230769
6,0.230769
6,0.230769
6,0.230769
2,0.086957
2,0.086957
5,0.333333
5,0.333333
5,0.333333
5,0.263158
5,0.263158
5,0.263158
5,0.263158
5,0.263158
2,0.142857
2,0.142857
3,0.200000
3,0.200000
3,0.200000
4,0.235294
4,0.235294
4,0.235294
4,0.235294
2,0.133333
2,0.133333
4,0.235294
4,0.235294
4,0.235294
4,0.235294
2,0.133333
2,0.133333
5,0.277778
5,0.277778
5,0.277778
5,0.277778
5,0.277778
2,0.133333
2,0.133333
4,0.250000
4,0.250000
4,0.250000
4,0.250000
3,0.200000
3,0.200000
3,0.200000
5,0.277778
5,0.277778
5,0.277778
5,0.277778
5,0.277778
2,0.133333
2,0.133333
2,0.125000
2,0.125000
1,0.066667
2,0.125000
2,0.125000
1,0.066667
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.083333
2,0.083333
2,0.105263
2,0.105263
3,0.150000
3,0.150000
3,0.150000
4,0.181818
4,0.181818
4,0.181818
4,0.181818
2,0.083333
2,0.083333
2,0.083333
4,0.166667
4,0.166667
4,0.200000
4,0.200000
4,0.200000
4,0.200000
7,0.291667
7,0.291667
7,0.291667
7,0.291667
7,0.291667
7,0.291667
7,0.291667
7,0.291667
17,0.708333
17,0.708333
17,0.708333
4,0.190476
4,0.190476
4,0.190476
4,0.190476
3,0.142857
3,0.142857
3,0.142857
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
1,0.050000
10,0.476190
10,0.476190
10,0.476190
10,0.476190
10,0.476190
10,0.476190
9,0.450000
9,0.450000
9,0.450000
9,0.450000
9,0.450000
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
2,0.100000
2,0.100000
2,0.095238
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
11,0.478261
11,0.478261
11,0.478261
11,0.478261
11,0.478261
11,0.478261
11,0.478261
4,0.160000
4,0.160000
4,0.160000
4,0.160000
4,0.173913
4,0.173913
4,0.173913
4,0.173913
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
6,0.240000
18,0.720000
18,0.720000
